2025-04-10 20:37:32 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:37:36 [main] INFO  Log - Navigating to URL...
2025-04-10 20:37:38 [main] INFO  Log - Starting login test...
2025-04-10 20:37:38 [main] INFO  Log - Adding credentials
2025-04-10 20:37:39 [main] INFO  Log - Cicking Login button...
2025-04-10 20:37:39 [main] INFO  Log - Verifying page title
2025-04-10 20:37:39 [main] INFO  Log - Closing Browser...
2025-04-10 20:37:39 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:37:42 [main] INFO  Log - Navigating to URL...
2025-04-10 20:37:43 [main] INFO  Log - Starting login test...
2025-04-10 20:37:43 [main] INFO  Log - Adding credentials
2025-04-10 20:37:44 [main] INFO  Log - Cicking Login button...
2025-04-10 20:37:44 [main] INFO  Log - Verifying page title
2025-04-10 20:37:44 [main] INFO  Log - Closing Browser...
2025-04-10 20:37:44 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:37:47 [main] INFO  Log - Navigating to URL...
2025-04-10 20:37:49 [main] INFO  Log - Starting login test...
2025-04-10 20:37:49 [main] INFO  Log - Adding credentials
2025-04-10 20:37:49 [main] INFO  Log - Cicking Login button...
2025-04-10 20:37:49 [main] INFO  Log - Verifying page title
2025-04-10 20:37:49 [main] INFO  Log - Closing Browser...
2025-04-10 20:40:14 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:40:18 [main] INFO  Log - Navigating to URL...
2025-04-10 20:40:19 [main] INFO  Log - Starting login test...
2025-04-10 20:40:19 [main] INFO  Log - Adding credentials
2025-04-10 20:40:20 [main] INFO  Log - Cicking Login button...
2025-04-10 20:40:20 [main] INFO  Log - Verifying page title
2025-04-10 20:40:20 [main] INFO  Log - Closing Browser...
2025-04-10 20:45:19 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:45:23 [main] INFO  Log - Navigating to URL...
2025-04-10 20:45:24 [main] INFO  Log - Starting login test...
2025-04-10 20:45:24 [main] INFO  Log - Adding credentials
2025-04-10 20:45:25 [main] INFO  Log - Cicking Login button...
2025-04-10 20:45:25 [main] INFO  Log - Verifying page title
2025-04-10 20:45:25 [main] INFO  Log - Closing Browser...
2025-04-10 20:45:25 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:45:28 [main] INFO  Log - Navigating to URL...
2025-04-10 20:45:29 [main] INFO  Log - Starting login test...
2025-04-10 20:45:29 [main] INFO  Log - Adding credentials
2025-04-10 20:45:30 [main] INFO  Log - Cicking Login button...
2025-04-10 20:45:30 [main] INFO  Log - Verifying page title
2025-04-10 20:45:30 [main] INFO  Log - Closing Browser...
2025-04-10 20:45:31 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:45:33 [main] INFO  Log - Navigating to URL...
2025-04-10 20:45:35 [main] INFO  Log - Starting login test...
2025-04-10 20:45:35 [main] INFO  Log - Adding credentials
2025-04-10 20:45:35 [main] INFO  Log - Cicking Login button...
2025-04-10 20:45:35 [main] INFO  Log - Verifying page title
2025-04-10 20:45:35 [main] INFO  Log - Closing Browser...
2025-04-10 20:45:52 [main] INFO  Log - Fetch the Worksheet...
2025-04-10 20:45:52 [main] INFO  Log - Navigate to the Sheet...
2025-04-10 20:45:53 [main] INFO  Log - Enter crediantials...
2025-04-10 20:45:53 [main] INFO  Log - Enter crediantials...
2025-04-10 20:45:53 [main] INFO  Log - Enter crediantials...
2025-04-10 20:45:53 [main] INFO  Log - Starting WebDriver...
2025-04-10 20:45:57 [main] INFO  Log - Navigating to URL...
2025-04-10 20:45:58 [main] INFO  Log - Starting login test...
2025-04-10 20:45:58 [main] INFO  Log - Adding credentials
